x_base,y_base,x_length,y_length,color
300,178.5,0.053013854,0.998593777,0.173496609
240,541.5,0.854989074,0.518646009,0.087725101
480,358.5,-0.398679097,0.917090496,0.818135357
360,481.5,0.259283465,0.965801266,0.634296634
540,541.5,0.174944691,-0.984578263,0.59469614
480,541.5,-0.515190328,-0.8570758,0.195969668
540,298.5,0.133393091,-0.991063208,0.339167578
120,481.5,-0.756787903,-0.653660515,0.608644606
360,601.5,-0.489382266,-0.872069377,0.163390306
600,238.5,0.400078348,0.916480941,0.373374154
60,421.5,0.410611524,-0.911810384,0.51308935
180,541.5,-0.365807822,-0.930690409,0.347139486
600,601.5,-0.998937688,-0.046081395,0.053511141
600,601.5,0.991609756,0.129267519,0.197778008
420,661.5,0.907611277,-0.419811589,0.233159705
540,481.5,0.469814836,-0.882764986,0.541605011
360,118.5,0.930270304,-0.366874858,0.202721644
120,358.5,-0.842798391,-0.538229386,0.18383143
360,178.5,-0.996453883,-0.084140714,0.718066165
420,421.5,0.060026166,-0.998196804,0.212638651
360,661.5,-0.294462685,-0.955662978,0.509878516
240,421.5,0.866110612,-0.499852386,0.124820568
180,178.5,0.909016764,0.416759551,0.552966095
180,481.5,-0.871934582,-0.48962239,0.159366461
240,541.5,-0.096078499,-0.99537376,0.26124601
180,178.5,-0.964190845,-0.265209379,0.205620343
180,238.5,0.257502242,-0.966277701,0.124708841
600,481.5,0.906487785,-0.42223204,0.238483628
120,298.5,0.301474784,-0.95347415,0.65381677
600,541.5,-0.750355717,-0.661034264,0.424663757
60,238.5,0.374514242,-0.927221162,0.454841893
480,238.5,0.95885471,0.283897244,0.147014568
300,421.5,0.753089651,0.657917911,0.137383531
540,118.5,0.680980215,-0.732301814,0.827236235
360,178.5,0.937202029,0.34878698,0.733492709
600,661.5,0.173194956,-0.984887561,0.679600676
300,661.5,0.212065502,0.977255454,0.54825276
60,298.5,0.752384596,-0.658724085,0.131312265
120,358.5,-0.020464432,0.999790582,0.46084939
60,601.5,0.973604101,0.22824341,0.482303218
240,541.5,-0.104674001,0.994506588,0.652435307
600,481.5,0.463285037,0.886209329,0.135077199
60,541.5,-0.01205211,0.999927371,0.177987831
60,238.5,-0.624416512,-0.781091556,0.216820148
540,661.5,0.904118929,0.427280893,0.212047535
240,421.5,-0.598892166,0.800829678,0.152139588
60,238.5,0.903952284,0.427633335,0.129130007
600,238.5,0.353781944,-0.93532793,0.638995221
420,178.5,0.213445442,-0.976954985,0.518988698
540,238.5,-0.836055226,-0.548645295,0.108215441
120,298.5,-0.969671772,-0.244410832,0.103706873
600,661.5,-0.988001954,-0.154441377,0.185922265
180,118.5,-0.009065409,0.999958908,0.126738723
600,601.5,0.252638198,0.96756082,0
540,238.5,0.682246849,-0.731121903,0.776951519
180,421.5,-0.888325956,-0.459213453,0.504386495
